date,fold,best_dice,best_epoch,train_loss_final,duration,gpu_count,batch_size,num_workers,lr,epochs,img_size,model_name,optimizer,scheduler,loss
2026-02-26 16:51:23,3,0.8451,37,0.0302,2:48:12,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-26 16:51:03,1,0.8820,28,0.0323,2:49:37,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-26 16:51:18,4,0.8597,36,0.0304,2:49:27,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-26 16:51:01,2,0.8165,49,0.0290,2:51:17,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-27 08:31:22,0,0.8790,36,0.0305,2:47:21,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-27 08:31:34,1,0.8808,28,0.0325,2:48:41,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-27 08:32:01,3,0.8474,46,0.0302,2:51:06,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-27 08:32:05,4,0.8612,23,0.0306,2:51:44,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-27 08:31:41,2,0.8227,34,0.0290,2:53:03,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-27 12:35:58,0,0.8034,43,0.0556,0:55:18,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-27 12:38:00,1,0.8262,50,0.0581,0:59:05,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-27 13:50:08,2,0.7323,50,0.0538,0:57:56,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-27 13:50:28,3,0.7701,43,0.0542,1:00:58,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-27 14:50:49,4,0.7736,42,0.0545,0:36:41,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-27 18:24:25,1,0.8839,48,0.0667,2:53:05,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
